0,1,2,3,4
400,00:00:05.976,7,0,vehicle
401,00:00:05.996,7,0,vehicle
403,00:00:06.036,7,0,vehicle
404,00:00:06.076,7,0,vehicle
405,00:00:06.096,7,0,vehicle
409,00:00:06.156,7,1,vehicle
411,00:00:06.176,7,1,vehicle
413,00:00:06.196,6,1,vehicle
415,00:00:06.216,6,1,vehicle
416,00:00:06.256,6,1,vehicle
417,00:00:06.276,6,1,vehicle
419,00:00:06.296,6,1,vehicle
423,00:00:06.376,7,1,vehicle
424,00:00:06.396,7,1,vehicle
427,00:00:06.456,6,1,vehicle
428,00:00:06.476,6,1,vehicle
429,00:00:06.496,6,1,vehicle
432,00:00:06.556,6,1,vehicle
433,00:00:06.596,5,1,vehicle
436,00:00:06.636,6,1,vehicle
437,00:00:06.656,6,1,vehicle
439,00:00:06.696,6,1,vehicle
442,00:00:06.756,6,1,vehicle
443,00:00:06.776,6,1,vehicle
444,00:00:06.796,5,1,vehicle
447,00:00:06.836,5,2,vehicle
448,00:00:06.876,5,2,vehicle
449,00:00:06.896,5,2,vehicle
451,00:00:06.936,5,2,vehicle
453,00:00:06.976,5,2,vehicle
454,00:00:06.996,5,2,vehicle
457,00:00:07.056,3,1,vehicle
458,00:00:07.096,3,1,vehicle
461,00:00:07.116,3,0,vehicle
462,00:00:07.176,3,0,vehicle
463,00:00:07.196,3,0,vehicle
467,00:00:07.276,4,0,vehicle
468,00:00:07.296,4,0,vehicle
471,00:00:07.355,4,0,vehicle
472,00:00:07.375,4,0,vehicle
474,00:00:07.395,4,0,vehicle
477,00:00:07.475,4,0,on/off road
479,00:00:07.495,4,0,on/off road
482,00:00:07.555,4,0,vehicle
483,00:00:07.595,4,0,vehicle
486,00:00:07.615,4,0,on/off road
487,00:00:07.675,4,0,on/off road
488,00:00:07.695,4,0,on/off road
492,00:00:07.735,5,0,on/off road
493,00:00:07.775,5,0,on/off road
494,00:00:07.795,5,0,on/off road
495,00:00:07.815,5,0,on/off road
496,00:00:07.835,5,0,on/off road
497,00:00:07.855,5,0,on/off road
498,00:00:07.875,5,0,on/off road
499,00:00:07.895,5,0,on/off road
502,00:00:07.915,6,0,on/off road
503,00:00:07.995,6,0,on/off road
508,00:00:08.075,6,0,on/off road
509,00:00:08.095,6,0,on/off road
512,00:00:08.155,4,1,on/off road
513,00:00:08.195,4,1,on/off road
515,00:00:08.215,6,0,vehicle
516,00:00:08.235,6,0,vehicle
518,00:00:08.275,6,0,vehicle
519,00:00:08.295,6,0,vehicle
522,00:00:08.355,7,0,vehicle
523,00:00:08.395,7,0,vehicle
526,00:00:08.435,7,0,vehicle
527,00:00:08.455,7,0,vehicle
529,00:00:08.495,7,0,vehicle
531,00:00:08.515,6,0,on/off road
532,00:00:08.575,6,0,on/off road
533,00:00:08.595,6,0,on/off road
536,00:00:08.635,5,0,on/off road
538,00:00:08.675,5,0,on/off road
539,00:00:08.695,5,0,on/off road
543,00:00:08.775,6,0,on/off road
545,00:00:08.795,6,0,on/off road
547,00:00:08.875,6,1,on/off road
548,00:00:08.895,6,1,on/off road
551,00:00:08.974,6,0,on/off road
552,00:00:08.994,6,0,on/off road
554,00:00:09.034,6,0,on/off road
558,00:00:09.114,5,1,vehicle
559,00:00:09.134,5,1,vehicle
562,00:00:09.154,5,1,vehicle
564,00:00:09.174,5,1,vehicle
565,00:00:09.214,5,1,vehicle
567,00:00:09.234,5,0,vehicle
569,00:00:09.294,5,0,vehicle
570,00:00:09.314,5,0,vehicle
572,00:00:09.334,5,0,vehicle
573,00:00:09.374,5,0,vehicle
574,00:00:09.394,5,0,vehicle
575,00:00:09.434,5,0,vehicle
579,00:00:09.474,4,3,on/off road
580,00:00:09.494,4,3,on/off road
582,00:00:09.534,4,3,on/off road
584,00:00:09.554,4,3,on/off road
586,00:00:09.594,4,3,on/off road
587,00:00:09.614,4,3,on/off road
588,00:00:09.634,4,3,on/off road
591,00:00:09.694,5,1,on/off road
592,00:00:09.714,5,1,on/off road
593,00:00:09.754,5,1,on/off road
594,00:00:09.794,5,1,on/off road
595,00:00:09.814,5,1,on/off road
596,00:00:09.834,5,1,on/off road
598,00:00:09.854,5,1,on/off road
600,00:00:09.874,5,2,vehicle
601,00:00:09.914,5,2,vehicle
603,00:00:09.954,5,2,vehicle
606,00:00:09.974,5,3,vehicle
607,00:00:10.054,6,3,vehicle
610,00:00:10.094,5,3,vehicle
611,00:00:10.114,5,3,vehicle
613,00:00:10.154,5,3,vehicle
615,00:00:10.194,6,4,on/off road
616,00:00:10.234,6,4,on/off road
618,00:00:10.254,6,4,on/off road
620,00:00:10.294,5,4,on/off road
621,00:00:10.334,5,4,on/off road
623,00:00:10.354,5,4,on/off road
626,00:00:10.394,6,2,vehicle
627,00:00:10.414,6,2,vehicle
628,00:00:10.434,6,2,vehicle
630,00:00:10.454,6,2,on/off road
632,00:00:10.474,6,2,on/off road
633,00:00:10.534,6,2,on/off road
635,00:00:10.554,6,2,on/off road
639,00:00:10.613,4,2,on/off road
640,00:00:10.653,4,2,on/off road
641,00:00:10.673,4,2,on/off road
642,00:00:10.693,4,2,on/off road
643,00:00:10.733,4,2,on/off road
644,00:00:10.753,4,2,on/off road
646,00:00:10.793,4,0,on/off road
648,00:00:10.853,4,0,on/off road
650,00:00:10.893,4,0,on/off road
652,00:00:10.913,5,1,on/off road
653,00:00:10.953,5,1,on/off road
656,00:00:11.013,6,1,vehicle
657,00:00:11.053,6,1,vehicle
660,00:00:11.073,5,1,vehicle
661,00:00:11.093,5,1,vehicle
662,00:00:11.113,5,1,vehicle
663,00:00:11.133,5,1,vehicle
664,00:00:11.153,5,1,vehicle
667,00:00:11.213,4,1,vehicle
668,00:00:11.233,4,1,vehicle
669,00:00:11.253,4,1,vehicle
671,00:00:11.333,3,1,on/off road
673,00:00:11.353,3,1,on/off road
675,00:00:11.393,3,1,on/off road
677,00:00:11.453,3,1,on/off road
680,00:00:11.473,3,0,vehicle
681,00:00:11.533,3,0,vehicle
682,00:00:11.553,3,0,vehicle
685,00:00:11.593,3,0,vehicle
686,00:00:11.653,3,0,vehicle
689,00:00:11.693,3,0,vehicle
690,00:00:11.733,3,0,vehicle
692,00:00:11.753,3,0,vehicle
695,00:00:11.793,4,0,vehicle
696,00:00:11.813,4,0,vehicle
697,00:00:11.833,4,0,vehicle
698,00:00:11.853,4,0,vehicle
701,00:00:11.913,5,0,vehicle
702,00:00:11.953,5,0,vehicle
705,00:00:11.993,6,1,vehicle
706,00:00:12.013,6,0,vehicle
707,00:00:12.033,6,0,vehicle
708,00:00:12.053,6,0,vehicle
711,00:00:12.133,5,0,vehicle
712,00:00:12.153,5,0,vehicle
715,00:00:12.193,5,0,vehicle
716,00:00:12.212,5,0,vehicle
718,00:00:12.232,5,0,vehicle
720,00:00:12.252,8,1,vehicle
722,00:00:12.272,8,0,vehicle
723,00:00:12.332,6,0,vehicle
725,00:00:12.372,6,0,vehicle
727,00:00:12.472,4,0,vehicle
733,00:00:12.552,3,1,person
734,00:00:12.572,3,1,person
737,00:00:12.632,5,0,vehicle
739,00:00:12.672,5,0,vehicle
742,00:00:12.732,4,0,vehicle
743,00:00:12.772,4,0,vehicle
745,00:00:12.812,5,0,vehicle
746,00:00:12.852,4,0,vehicle
747,00:00:12.872,5,0,vehicle
749,00:00:12.932,6,0,vehicle
751,00:00:12.972,6,0,vehicle
754,00:00:12.992,6,1,on/off road
755,00:00:13.032,6,1,on/off road
756,00:00:13.092,6,0,on/off road
759,00:00:13.112,6,0,on/off road
760,00:00:13.152,6,0,on/off road
761,00:00:13.352,6,0,on/off road
766,00:00:13.492,6,0,vehicle
768,00:00:13.991,6,0,vehicle
770,00:00:14.011,6,0,vehicle
774,00:00:14.091,7,0,vehicle
776,00:00:14.111,7,0,vehicle
779,00:00:14.191,5,0,vehicle
780,00:00:14.211,5,0,vehicle
782,00:00:14.251,5,0,vehicle
784,00:00:14.311,5,0,vehicle
788,00:00:14.371,6,1,vehicle
790,00:00:14.411,6,1,vehicle
793,00:00:14.471,5,0,vehicle
794,00:00:14.491,5,0,vehicle
795,00:00:14.511,5,0,vehicle
799,00:00:14.571,4,1,vehicle
801,00:00:14.591,4,1,vehicle
802,00:00:14.611,4,1,vehicle
804,00:00:14.631,4,1,on/off road
805,00:00:14.691,4,1,on/off road
806,00:00:14.711,4,1,on/off road
809,00:00:14.791,5,1,on/off road
810,00:00:14.811,5,1,on/off road
813,00:00:14.851,5,0,on/off road
814,00:00:14.871,5,0,on/off road
815,00:00:14.911,5,0,on/off road
819,00:00:14.971,5,0,on/off road
820,00:00:14.991,5,0,on/off road
822,00:00:15.011,5,0,on/off road
823,00:00:15.051,5,0,on/off road
824,00:00:15.111,4,0,on/off road
828,00:00:15.151,4,0,on/off road
829,00:00:15.171,4,0,on/off road
831,00:00:15.191,4,0,on/off road
832,00:00:15.211,4,0,on/off road
833,00:00:15.231,4,0,on/off road
834,00:00:15.271,4,0,on/off road
836,00:00:15.311,4,0,on/off road
840,00:00:15.371,4,1,on/off road
841,00:00:15.391,5,1,on/off road
842,00:00:15.411,5,1,on/off road
845,00:00:15.470,5,2,on/off road
846,00:00:15.510,5,2,on/off road
848,00:00:15.530,5,2,on/off road
849,00:00:15.550,5,2,on/off road
850,00:00:15.570,4,0,on/off road
851,00:00:15.610,4,0,on/off road
854,00:00:15.650,7,1,on/off road
855,00:00:15.690,7,1,on/off road
856,00:00:15.710,7,1,on/off road
859,00:00:15.790,5,2,on/off road
860,00:00:15.810,6,2,on/off road
862,00:00:15.850,6,2,on/off road
863,00:00:15.870,6,2,on/off road
864,00:00:15.910,6,2,on/off road
867,00:00:15.970,7,1,on/off road
868,00:00:16.010,7,1,on/off road
872,00:00:16.050,4,2,on/off road
873,00:00:16.070,4,2,on/off road
875,00:00:16.110,4,2,on/off road
878,00:00:16.190,6,1,on/off road
881,00:00:16.210,6,1,on/off road
884,00:00:16.270,5,1,on/off road
885,00:00:16.290,6,1,on/off road
886,00:00:16.310,6,1,on/off road
889,00:00:16.370,5,3,on/off road
890,00:00:16.410,5,3,on/off road
893,00:00:16.450,4,4,on/off road
895,00:00:16.470,4,4,on/off road
896,00:00:16.490,4,4,on/off road
898,00:00:16.510,4,4,on/off road
900,00:00:16.530,6,2,on/off road
901,00:00:16.550,7,2,on/off road
902,00:00:16.590,7,2,on/off road
903,00:00:16.610,7,2,on/off road
906,00:00:16.670,6,2,on/off road
907,00:00:16.690,6,2,on/off road
909,00:00:16.710,6,2,on/off road
912,00:00:16.750,6,2,on/off road
913,00:00:16.810,6,3,on/off road
914,00:00:16.830,6,3,on/off road
915,00:00:16.850,6,3,on/off road
917,00:00:16.910,6,3,on/off road
920,00:00:16.930,6,3,on/off road
921,00:00:17.010,5,3,on/off road
924,00:00:17.050,7,1,on/off road
925,00:00:17.070,7,1,on/off road
927,00:00:17.109,7,1,on/off road
930,00:00:17.169,5,1,on/off road
931,00:00:17.189,5,1,on/off road
932,00:00:17.209,5,1,on/off road
935,00:00:17.249,5,3,on/off road
936,00:00:17.309,5,3,on/off road
940,00:00:17.349,5,5,on/off road
941,00:00:17.369,5,5,on/off road
944,00:00:17.409,5,3,on/off road
946,00:00:17.469,4,5,on/off road
947,00:00:17.489,4,5,on/off road
948,00:00:17.509,4,5,on/off road
950,00:00:17.549,4,5,on/off road
951,00:00:17.609,4,5,on/off road
955,00:00:17.669,4,5,on/off road
956,00:00:17.689,4,5,on/off road
957,00:00:17.709,4,5,on/off road
959,00:00:17.729,4,5,on/off road
960,00:00:17.749,4,5,on/off road
961,00:00:17.789,4,5,on/off road
963,00:00:17.809,4,5,on/off road
966,00:00:17.889,5,4,on/off road
968,00:00:17.909,5,4,on/off road
970,00:00:17.929,6,4,on/off road
971,00:00:17.949,6,4,on/off road
972,00:00:17.989,6,4,on/off road
973,00:00:18.009,6,4,on/off road
976,00:00:18.089,5,4,on/off road
977,00:00:18.109,5,4,on/off road
979,00:00:18.129,5,3,on/off road
