tv_count,tp_count,target_circle
3,2,vehicle
3,2,vehicle
3,2,vehicle
4,1,vehicle
4,1,vehicle
4,1,vehicle
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
4,2,vehicle
4,2,vehicle
3,2,vehicle
3,2,vehicle
4,2,vehicle
4,2,vehicle
3,1,vehicle
3,1,vehicle
3,1,vehicle
4,0,vehicle
4,0,vehicle
4,0,vehicle
4,1,vehicle
4,1,vehicle
4,1,vehicle
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,3,on/off road
3,3,on/off road
3,3,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,1,on/off road
3,1,on/off road
4,2,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,2,vehicle
3,1,on/off road
3,1,on/off road
3,2,vehicle
3,2,vehicle
3,2,vehicle
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,2,on/off road
3,2,on/off road
3,2,on/off road
3,0,on/off road
3,0,on/off road
3,0,on/off road
3,0,on/off road
3,0,on/off road
3,0,on/off road
3,3,on/off road
3,3,on/off road
3,3,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
4,0,vehicle
4,1,vehicle
4,2,on/off road
4,2,on/off road
5,2,vehicle
5,2,vehicle
5,2,vehicle
3,3,vehicle
3,3,vehicle
5,2,vehicle
5,2,vehicle
4,3,vehicle
4,3,vehicle
6,2,vehicle
6,2,vehicle
6,2,vehicle
4,2,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
5,2,vehicle
5,2,vehicle
5,2,vehicle
5,2,vehicle
5,3,on/off road
5,3,on/off road
5,3,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
5,2,on/off road
5,2,on/off road
5,2,on/off road
5,2,vehicle
5,2,vehicle
5,2,vehicle
5,2,vehicle
5,2,vehicle
5,2,vehicle
6,1,vehicle
6,1,vehicle
6,1,vehicle
5,2,vehicle
5,2,vehicle
5,2,vehicle
5,1,vehicle
6,1,vehicle
6,1,vehicle
3,1,on/off road
2,2,on/off road
2,2,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
3,1,on/off road
4,1,vehicle
4,1,vehicle
3,1,vehicle
5,1,on/off road
5,1,on/off road
5,1,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,1,on/off road
4,1,on/off road
5,1,on/off road
5,1,on/off road
5,1,on/off road
5,1,on/off road
5,1,vehicle
5,0,vehicle
5,0,vehicle
4,2,on/off road
4,2,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,1,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,0,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
4,2,on/off road
5,1,vehicle
5,1,vehicle
5,1,vehicle
5,1,vehicle
5,1,vehicle
5,0,on/off road
5,0,on/off road
