0,00:00:00.000,4,1,___
242,00:00:00.200,4,1,___
243,00:00:00.220,4,1,___
244,00:00:00.260,4,1,___
247,00:00:00.280,3,1,on/off road
248,00:00:00.360,3,1,on/off road
251,00:00:00.380,3,1,on/off road
252,00:00:00.440,3,1,on/off road
253,00:00:00.460,3,1,on/off road
256,00:00:00.500,2,2,on/off road
257,00:00:00.540,2,2,on/off road
258,00:00:00.560,2,2,on/off road
261,00:00:00.600,3,1,on/off road
262,00:00:00.640,3,1,on/off road
263,00:00:00.660,3,1,on/off road
392,00:00:00.680,3,1,on/off road
396,00:00:00.740,3,1,on/off road
397,00:00:00.780,3,1,on/off road
400,00:00:00.820,1,1,on/off road
401,00:00:00.839,1,1,on/off road
402,00:00:00.879,1,1,on/off road
405,00:00:00.919,3,2,on/off road
406,00:00:00.939,3,1,on/off road
407,00:00:00.959,3,1,on/off road
408,00:00:00.979,3,1,on/off road
412,00:00:01.059,3,2,on/off road
413,00:00:01.079,3,2,on/off road
416,00:00:01.139,3,1,on/off road
417,00:00:01.179,3,1,on/off road
421,00:00:01.259,3,2,on/off road
423,00:00:01.279,3,2,on/off road
425,00:00:01.319,4,1,on/off road
426,00:00:01.359,4,1,on/off road
427,00:00:01.379,4,1,on/off road
429,00:00:01.399,4,1,on/off road
430,00:00:01.439,4,1,on/off road
431,00:00:01.479,4,1,on/off road
434,00:00:01.519,5,2,on/off road
435,00:00:01.539,5,2,on/off road
436,00:00:01.579,5,2,on/off road
438,00:00:01.639,3,2,on/off road
439,00:00:01.659,3,2,on/off road
441,00:00:01.679,3,2,on/off road
443,00:00:01.719,3,1,on/off road
444,00:00:01.759,3,1,on/off road
445,00:00:01.779,3,1,on/off road
448,00:00:01.819,3,1,on/off road
449,00:00:01.859,3,1,on/off road
451,00:00:01.879,3,1,on/off road
453,00:00:01.959,4,1,on/off road
455,00:00:01.979,4,1,on/off road
458,00:00:02.019,5,1,on/off road
459,00:00:02.059,5,1,on/off road
460,00:00:02.079,4,1,on/off road
463,00:00:02.159,4,1,on/off road
464,00:00:02.179,4,1,on/off road
466,00:00:02.199,4,1,on/off road
