0,720,7,1,___,,0
95,720,8,0,on/off road,,0
97,720,8,0,on/off road,,0
98,720.1,10,0,on/off road,,0.1
99,720.1,10,0,on/off road,,0.1
101,720.2,10,1,on/off road,,0.2
102,720.2,10,1,___,,0.2
103,720.3,9,2,___,,0.3
105,720.3,7,1,on/off road,,0.3
106,720.4,9,1,on/off road,,0.4
108,720.4,8,0,vehicle,,0.4
109,720.5,8,1,vehicle,,0.5
111,720.5,8,2,vehicle,,0.5
112,720.6,8,1,vehicle,,0.6
114,720.6,8,1,vehicle,,0.6
115,720.7,7,1,on/off road,,0.7
116,720.7,6,1,on/off road,,0.7
118,720.8,7,2,on/off road,,0.8
120,720.8,7,2,vehicle,,0.8
121,720.9,6,1,vehicle,,0.9
122,720.9,6,2,vehicle,,0.9
124,720,8,1,___,,0
126,721,7,1,___,,1
127,721.1,8,1,___,,1.1
128,721.1,6,1,___,,1.1
129,721.2,7,1,vehicle,,1.2
131,721.2,8,1,vehicle,,1.2
132,721.3,7,1,vehicle,,1.3
134,721.3,7,1,vehicle,,1.3
135,721.3,8,1,on/off road,,1.3
138,721.4,8,1,on/off road,,1.4
140,721.5,10,0,on/off road,,1.5
141,721.5,9,0,on/off road,,1.5
142,721.6,9,0,on/off road,,1.6
144,721.6,7,2,on/off road,,1.6
145,721.7,7,2,on/off road,,1.7
146,721.7,7,2,on/off road,,1.7
148,721.8,8,1,on/off road,,1.8
149,721.8,8,1,on/off road,,1.8
150,721.9,8,1,on/off road,,1.9
152,721.9,7,1,on/off road,,1.9
153,721,9,1,on/off road,,1
155,722,9,0,on/off road,,2
156,722.1,11,0,___,,2.1
158,722.1,10,0,___,,2.1
159,722.1,10,0,___,,2.1
161,722.2,10,0,vehicle,,2.2
162,722.2,9,0,vehicle,,2.2
164,722.3,6,0,on/off road,,2.3
165,722.3,5,0,on/off road,,2.3
166,722.4,7,0,vehicle,,2.4
168,722.4,7,0,vehicle,,2.4
169,722.5,7,0,vehicle,,2.5
170,722.5,7,0,vehicle,,2.5
172,722.6,5,0,___,,2.6
174,722.6,4,0,on/off road,,2.6
175,722.7,4,0,on/off road,,2.7
177,722.7,4,0,on/off road,,2.7
179,722.8,5,0,on/off road,,2.8
180,722.8,6,0,___,,2.8
181,722.9,6,0,___,,2.9
182,722.9,6,0,on/off road,,2.9
183,722,6,0,on/off road,,2
